Note author: ONLY [N]T has 1 allocs, it's okey, SEE performance recommendations in func's description or in utils/README.md

goos: darwin
goarch: arm64
pkg: github.com/lif0/pkg/utils/reflect
cpu: Apple M2
BenchmarkEstimatePayloadOf/uintptr-8              	        489837987	         2.426 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*uintptr-8             	        406261906	         2.973 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]uintptr-8            	        450569900	         2.687 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]uintptr-8           	        497976794	         2.408 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*uintptr-8           	        30250130	         39.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*uintptr-8          	        31735256	         37.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]uintptr-8         	        64437746	         18.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]uintptr-8        	        100000000	         10.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*uintptr-8        	        31150963	         38.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*uintptr-8       	        31829358	         38.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]uintptr{nil}-8       	        499093312	         2.443 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]uintptr{nil}-8      	        506300630	         2.394 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*uintptr{nil}-8      	        441402784	         2.737 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*uintptr{nil}-8     	        401155774	         2.756 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]uintptr{nil}-8    	        64195723	         18.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]uintptr{nil}-8   	        366637513	         3.257 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*uintptr{nil}-8   	         4652770	         261.6 ns/op	       0 B/op	       0 allocs/op
